番号,単語,品詞,訳語,レベル
341,hobby,名詞,趣味,B
342,license,名詞,免許証、免許,B
343,locker,名詞,ロッカー,B
344,machine,名詞,機械,B
345,magazine,名詞,雑誌,B
346,model,名詞,模型、型、モデル,B
347,notice,名詞,掲示、通知,B
348,paper,名詞,紙,B
349,question,名詞,質問,B
350,recipe,名詞,料理の作り方、調理法,B
351,rule,名詞,規則、ルール,B
352,season,名詞,季節、時期,B
353,sofa,名詞,ソファ,B
354,tour,名詞,（観光などの）旅行、ツアー,B
355,video,名詞,ビデオ、映像,B
356,winner,名詞,優勝者、勝利者,B
357,accident,名詞,事故,B
358,answer,名詞,答え、返事,B
359,bank,名詞,銀行,B
360,copy,名詞,コピー、複写,B
361,dentist,名詞,歯医者、歯科医,B
362,farmer,名詞,農場経営者,B
363,horse,名詞,馬,B
364,junior high school,名詞,中学校,B
365,kitchen,名詞,台所,B
366,race,名詞,レース、競争,B
367,sign,名詞,看板、掲示,B
368,snowboard,名詞,スノーボードの板,B
369,subject,名詞,（eメールなどの）件名,B
370,tiger,名詞,虎,B
371,toy,名詞,おもちゃ,B
372,visitor,名詞,訪問者、観光客,B
373,crowded,形容詞,混雑した,B
374,easy,形容詞,簡単な,B
375,fast,形容詞,速い,B
376,half,形容詞,半分の,B
377,hungry,形容詞,空腹の,B
378,afraid,形容詞,怖がって、恐れて,B
379,cloudy,形容詞,くもった,B
380,dirty,形容詞,汚れた、汚い,B
381,funny,形容詞,面白い、おかしい、こっけいな,B
382,poor,形容詞,貧しい、下手な,B
383,such,形容詞,そのような、このような,B
384,warm,形容詞,あたたかい,B
385,international,形容詞,国際的な,B
386,wet,形容詞,しめった、濡れた,B
387,alone,副詞,一人で,B
388,else,副詞,そのほかに,B
389,however,副詞,しかしながら,B
390,part-time,副詞,パートタイムで、非常勤で,B
391,abroad,副詞,海外で,B
392,finally,副詞,ついに、最後に,B
393,someday,副詞,いつか、そのうちに,B
394,either,副詞,～もまた･･･ない,B
395,even,副詞,～でさえ、さらに,B
396,beside,前置詞,～のそばに、～と並んで,B
397,through,前置詞,～を通り抜けて、～を通して,B
398,herself,代名詞,彼女自身を,B
399,anyone,代名詞,誰か、だれも～ない,B
400,myself,代名詞,私自身を,B
401,climb,動詞,～に登る,B
402,cover,動詞,～を覆う,B
403,die,動詞,死ぬ,B
404,follow,動詞,～に従う、ついていく,B
405,hit,動詞,～にぶつかる、～をぶつける、打つ,B
406,injure,動詞,～にけがをさせる、傷つける,B
407,lend,動詞,～を貸す,B
408,plant,動詞,～を植える,B
409,receive,動詞,～を受け取る,B
410,start,動詞,～を始める、始まる,B
411,steal,動詞,〜を盗む,B
412,taste,動詞,～の味がする,B
413,cry,動詞,泣く、叫ぶ,B
414,fall,動詞,落ちる,B
415,fix,動詞,〜を修理する,B
416,invent,動詞,～を発明する,B
417,kill,動詞,～を殺す,B
418,paint,動詞,～を絵具で描く、絵具を塗る,B
419,serve,動詞,（食事など）を出す、仕える,B
420,adult,名詞,大人,B
421,bathroom,名詞,浴室、トイレ,B
422,bicycle,名詞,自転車,B
423,captain,名詞,キャプテン、船長、機長,B
424,church,名詞,教会,B
425,coach,名詞,コーチ、監督、指導者,B
426,comic,名詞,漫画本,B
427,doughnut,名詞,ドーナツ,B
428,dress,名詞,ドレス,B
429,experience,名詞,経験,B
430,gate,名詞,門,B
431,horror,名詞,ホラー、恐怖,B
432,language,名詞,言語,B
433,nature,名詞,自然,B
434,noon,名詞,正午,B
435,owner,名詞,所有者,B
436,person,名詞,人,B
437,pond,名詞,池,B
438,price,名詞,価格、値段,B
439,schedule,名詞,予定,B
440,staff,名詞,職員、スタッフ,B
